Date,User,ABSA_Tweets
2022-12-30 11:54:05+00:00,PhetoPatrick,@AbsaSouthAfrica I told him im from the branch in pta north and had deleted and activated the app in the bank so insisted on asking my details and i told him there was no fraud reported from my card cos i was the 1 using the app and gave him my id number but he insisted on asking more questions
2022-12-30 11:52:02+00:00,PhetoPatrick,@AbsaSouthAfrica The app was fine and functional then i left the bank and dd sum 2 transfers from the app. When i was done with my transfers en route home i received a call from at around 8:50 from 1 of ur agents who told me there has been a suspicion of fraud on my internet banking
2022-12-30 11:50:10+00:00,PhetoPatrick,"@AbsaSouthAfrica I got into the bank around 8:45 to download an app cos it was not responding on my fone, the lady who was controlling the que in the bank ask me i what in the bank for and i explained to her, then she said i must delete the previous app and download the new 1. I dd as instructed"
2022-12-30 11:41:49+00:00,Franck87,Ayo Discovery Bank @Discovery_SA not everyone want a dollar account you should be able to convert incoming swift  into my ZAR account like @AbsaSouthAfrica now i will spend a miserable new year😥
2022-12-30 11:24:02+00:00,Malefet18356765,"Hi Smarter, will you pls share with us your experience with @AbsaSouthAfrica as I had recently moved my Homeloan from @Nedbank to @AbsaSouthAfrica while I still bank with @Nedbank. I have been with @Nedbank since 2005 after I had moved to to it from @StandardBankZA since I was…"
2022-12-30 11:21:13+00:00,Asanda__Khoza__,"@AbsaSouthAfrica 
@StandardBankZA 
@FNBSA"
2022-12-30 11:20:26+00:00,AbsaSouthAfrica,"@miss_wanir Thank you. Yes, this vacancy is in a Service Centre environment which means most interactions will revolve around answering inbound calls and/or responding to emails."
2022-12-30 11:12:07+00:00,AbsaSouthAfrica,"@Sonkata_Nkwe Hi there. We're sorry to see that your experience was not perfect. We'd like to remedy the situation: please DM us your ID number, contact details, account number, and details regarding your concerns. https://t.co/Y91Sa2GD66"
2022-12-30 11:11:34+00:00,GiftMosia3,@sa_lottery @FNBSA @CapitecBankSA @StandardBankZA @AbsaSouthAfrica When will the winners be paid?
2022-12-30 11:10:14+00:00,WizardKittySA,@sa_lottery @FNBSA @CapitecBankSA @StandardBankZA @AbsaSouthAfrica Eish. Not a single one from Tyme bank? They must have millions of active players too...
2022-12-30 11:08:36+00:00,vuyani_mluleki,"@AbsaSouthAfrica “An SSL error has occurred and a secure connection to the server cannot be made.”  
I tried it with data, over WiFi and it even refuses to update the app. https://t.co/xBiICy7ilB"
2022-12-30 11:07:31+00:00,AbsaSouthAfrica,"@Xhanga_Biggz We'd like an opportunity to remedy the situation: please DM us your ID number, contact details, and account number, with the details regarding your concerns. https://t.co/Y91Sa2GD66"
2022-12-30 11:07:24+00:00,AbsaSouthAfrica,@Xhanga_Biggz Hi there. We're sorry to see that your experience was less than expected.   https://t.co/Y91Sa2GD66
2022-12-30 11:01:18+00:00,AbsaSouthAfrica,@Naledi_E_Ntle We apologise for this inconvenience. Please reach out to our team on 08600 08600 to check if the payment was processed as an immediate payment.
2022-12-30 10:55:36+00:00,CanadianRfc,@Devandy10 @PUMASouthAfrica @AbsaSouthAfrica @Durban10k 👌👌👌 https://t.co/B7zSHONgtT
2022-12-30 10:44:11+00:00,Shawn80654585,@AbsaSouthAfrica Why what are going to do anything better than the rude staff already tried at the branch ?
2022-12-30 10:43:14+00:00,Sonkata_Nkwe,@Absa_CIB @AbsaSouthAfrica private banking service is bad 😪😪😪😪
