Date,User,FNB_Tweets
2022-12-31 10:22:53+00:00,khoza_ronald,@FNBSA bye bye white only bank. @CapitecBankSA and @Nedbank you are the only banks that care about black people
2022-12-31 10:20:34+00:00,khoza_ronald,@FNBSA I'm about to run away too. @Nedbank we are coming in numbers. But the attitude of Lebogang Mathe the branch manager from Mabopane Central is problematic.
2022-12-31 10:10:36+00:00,nele_gwabs,@SithembileTsha7 @PhilMphela @FNBSA I don’t know if it’s me or what but mna the cellphone banking *120*321# is easier than the banking app
2022-12-31 09:59:59+00:00,GuguStatu,@FNBSA is there a problem with your app?
2022-12-31 09:59:17+00:00,Thaboredwine,@Madam_PB @CapitecBankSA  @FNBSA
2022-12-31 09:54:43+00:00,_ThatoYaOne,"Bathong lona, @FNBSA why is my ewallet account not visible on the app? I want to transfer the money to my current account"
2022-12-31 09:53:49+00:00,CphaSpain,"@FNBSA #FNBCashFreeSummer 

Ewallet"
2022-12-31 09:51:14+00:00,jeminah__n,"@FNBSA Dstv
 #FNBCashFreeSummer 
#LoveFNB"
2022-12-31 09:51:10+00:00,e_james9,Hi @FNBSA how is it possible for ewallet scammers to do ewallet transfers without my partner receiving opt sms for these transactions. The fnb card was last used 4 days ago. We just received email confirmation that R16 000.00 was transfered using ewallet #LoveFNB
2022-12-31 09:50:41+00:00,Amo_Mufasa,@dramadelinquent @dlmarshal @FNBSA @PayPal I'm still struggling
2022-12-31 09:45:47+00:00,Julia_Semase,@Madam_PB @FNBSA
2022-12-31 09:28:15+00:00,kool_viber,"@FNBSA Dstv and electricity
 #FNBCashFreeSummer 

#LoveFNB"
2022-12-31 09:18:35+00:00,chaniBhe,@FNBSA What can I win?
2022-12-31 09:17:58+00:00,chaniBhe,"@FNBSA DSTv
Funeral plan
Water
Electricity
Car insurance
House insurance
#FNBCashFreeSummer 
#LoveFNB       
@FNBSA https://t.co/1ZQHVcg34R"
2022-12-31 09:17:51+00:00,chaniBhe,"@FNBSA DSTv
Funeral plan
Water
Electricity
Car insurance
House insurance
#FNBCashFreeSummer 
#LoveFNB       
@FNBSA https://t.co/XJwH5l3eJS"
2022-12-31 09:12:30+00:00,KissMlungu,"@FNBSA #FNBCashFreeSummer 
#LoveFNB 
@FNBSA
 
Paying clothing accounts"
2022-12-31 09:10:39+00:00,Glynis89549097,@FNBSA #LoveFNB
2022-12-31 09:10:06+00:00,Glynis89549097,@FNBSA #LoveFNB #FNBCashFreeSummer I pay my Game and Ackermans account via FNB App
2022-12-31 09:09:48+00:00,zn_sanele,"People left, right and center have praised their banks the likes of @Nedbank and @Absa ranking high, we've got a business account with @FNBSA we are yet to see  something praise worthy from them."
2022-12-31 09:09:35+00:00,Michell72567612,"@FNBSA #LoveFNB

#FNBCashFreeSummer 

I pay my mom's electricity bill for her she transfers the money into my FNB account and I pay it for her....

FNB is the way to go!"
2022-12-31 09:07:46+00:00,utemnolan,"@FNBSA I don't need tips from banks, mine or others. They should be grateful I bank with them, and act accordingly. 🙄"
2022-12-31 09:05:59+00:00,KissMlungu,"@FNBSA tapping and pay
 #FNBCashFreeSummer #LoveFNB 
@FNBSA"
2022-12-31 09:02:35+00:00,Orori110717,@FNBSA #LoveFNB
2022-12-31 08:57:27+00:00,Amanda20006559,"@FNBSA Water bill
#LoveFNB
#FNBCashFreeSummer"
2022-12-31 08:56:46+00:00,Levis35229207,"@FNBSA Water bill
#FNBCashFreeSummer
#LoveFNB"
2022-12-31 08:55:33+00:00,PearlBongie,"@FNBSA My Dstv account
#FNBCashFreeSummer #LoveFNB https://t.co/gUvmOAtOt3"
2022-12-31 08:51:54+00:00,Preciou04,"@FNBSA Dstv account
#FNBCashFreeSummer #LoveFNB"
2022-12-31 08:50:19+00:00,NtshengedzeniMu,@LungaMrhetjha @big_tenda @FNBSA
2022-12-31 08:50:05+00:00,pumezamdangayi,@FNBSA is this legit? https://t.co/Lk4NrfQZIV
2022-12-31 08:48:35+00:00,Malibongwe_Z,"@FNBSA Water
Electricity
#FNBCashFreeSummer"
2022-12-31 08:46:21+00:00,chaniBhe,"@FNBSA DSTv
Funeral plan
Water
Electricity
Car insurance
House insurance
#FNBCashFreeSummer 
#LoveFNB    
@FNBSA https://t.co/7QRTS704YS"
2022-12-31 08:46:08+00:00,chaniBhe,"@FNBSA DSTv
Funeral plan
Water
Electricity
Car insurance
House insurance
#FNBCashFreeSummer 
#LoveFNB    
@FNBSA https://t.co/jv8dnsCGFg"
2022-12-31 08:45:51+00:00,chaniBhe,"@FNBSA DSTv
Funeral plan
Water
Electricity
Car insurance
House insurance
#FNBCashFreeSummer 
#LoveFNB    
@FNBSA https://t.co/mjFGPwUd4K"
2022-12-31 08:45:44+00:00,chaniBhe,"@FNBSA DSTv
Funeral plan
Water
Electricity
Car insurance
House insurance
#FNBCashFreeSummer 
#LoveFNB    
@FNBSA https://t.co/QDGrLi9ebo"
2022-12-31 08:45:37+00:00,chaniBhe,"@FNBSA DSTv
Funeral plan
Water
Electricity
Car insurance
House insurance
#FNBCashFreeSummer 
#LoveFNB    
@FNBSA https://t.co/NU1E9TIjM3"
2022-12-31 08:45:31+00:00,Dj_Realman,"@FNBSA My Dstv account
#FNBCashFreeSummer #LoveFNB"
2022-12-31 08:45:31+00:00,chaniBhe,"@FNBSA DSTv
Funeral plan
Water
Electricity
Car insurance
House insurance
#FNBCashFreeSummer 
#LoveFNB    
@FNBSA https://t.co/7NyoEgewDy"
2022-12-31 08:45:03+00:00,SMoketse,@FNBSA #LoveFNB
2022-12-31 08:42:48+00:00,AmandaGovende92,"@FNBSA Electricity
#LoveFNB
#FNBCashFreeSummer"
2022-12-31 08:36:21+00:00,ThembiT63723996,@FNBSA #LoveFNB
2022-12-31 08:35:25+00:00,Mamzangwa2_0,@FNBSA(Site B) is selling Orlando Pirates vs Cape Town City tickets that's worth R80 for R20 if you're FNB client. Ningathi khange ndini plug
2022-12-31 08:35:25+00:00,ThembiT63723996,"@FNBSA DSTv
Funeral plan
Water
Electricity
Car insurance
House insurance
#FNBCashFreeSummer 
#LoveFNB 
@FNBSA"
2022-12-31 08:33:41+00:00,Kagiso3113,"@FNBSA Traffic fines
#FNBCashFreeSummer #LoveFNB"
2022-12-31 08:30:41+00:00,ThembiT63723996,@FNBSA #LoveFNB
2022-12-31 08:23:05+00:00,BigT_2106,"Holding on for 25 min for FNB Card fraud department after strange transaction on my account between Tops Bottle store and Toyzone. Their call centre service us as good as,Eskoms, pathetic. @FNBSA"
2022-12-31 08:22:17+00:00,RoyalRee13,@FNBSA so how am I suppose to buy stationary? https://t.co/n8UiRuUkTl
2022-12-31 08:21:46+00:00,AyandaMbatha4,"@PhilMphela @FNBSA With @AbsaSouthAfrica CashSend, you can di a reversal easily on your App @PhilMphela 😉👌."
2022-12-31 08:16:51+00:00,miss_g_andrews,"@PrinciDa_Med1 @FNBSA Replied, please escalate as this has been ongoing since the 5th of December."
2022-12-31 08:13:08+00:00,mmakhumoetsile,@PhilMphela @FNBSA I hate fnb also for that. Other instant services from other banks are not as easily accessible without you giving out the pin
2022-12-31 08:11:39+00:00,Ruthayzia_23,@FNBSA #FNBCashFreeSummer #LoveFNB
2022-12-31 08:11:07+00:00,BlueSpicey,@FNBSA My Municipal bill  #FNBCashFreeSummer #LoveFNB
2022-12-31 08:09:51+00:00,ruthlessness363,@FNBSA #LoveFNB
2022-12-31 08:02:03+00:00,mavokweni,"@FNBSA Electricity
#FNBCashFreeSummer"
2022-12-31 07:58:31+00:00,LallieGounden,"@FNBSA #LoveFNB  #FNBCashFreeSummer
Will do my  municipal bill payment"
2022-12-31 07:57:27+00:00,LallieGounden,@FNBSA #LoveFNB awesome  will do my municipal bill payment
2022-12-31 07:51:36+00:00,lorainneP,@FNBSA House and Wi-Fi  #FNBCashFreeSummer #LoveFNB
2022-12-31 07:51:25+00:00,MagikMcCoy,@FNBSA charges are too much.😫
