Date,User,Standard_Tweets
2023-01-01 08:06:58+00:00,hbarianarmy,"@MWalkerWilliams @Davos @AveryDennison @DLA_Piper @ServiceNow @StandardBankZA @hedera Lagarde: 

“Imagine that people purchasing beer and frozen pizza have higher mortgage defaults than citizens purchasing organic broccoli and spring water. What can you do if you have a craving for beer and pizza but do not want your credit score to drop?” Next come social score"
2023-01-01 07:58:27+00:00,Ruthayzia_23,@StandardBankZA #HowAboutNowSummer #ItCanBe
2023-01-01 07:51:17+00:00,Catherinevd07,@StandardBankZA #HowAboutNowSummer #itcanbe
2023-01-01 07:43:29+00:00,mfundo_st,@StandardBankZA I'm so ready #HowAboutNowSummer #ItCanBe https://t.co/S16tbQUwBT
2023-01-01 07:43:02+00:00,DelaineRamsamy,@StandardBankZA #HowAboutNowSummer https://t.co/P3bYxX9Q8D
2023-01-01 07:38:19+00:00,MthapeloSidney,@StandardBankZA Whole new year starting wrong with a huge credit standard bank gave me with or without my concern. 😭😭😭😭Bank big scam🏦
2023-01-01 07:37:52+00:00,bellabooboo1,@StandardBankZA #HowAboutNowSummer https://t.co/aYB507W1jo
2023-01-01 07:37:38+00:00,anneeda_pekeur,@StandardBankZA #HowAboutNowSummer #ItCanBe https://t.co/2oTe3XhEFe
2023-01-01 07:33:34+00:00,_mariannecar,"@StandardBankZA Always !!
☀️😎😁
 #BecauseUCount #HowAboutNow"
2023-01-01 07:15:38+00:00,itumelengmorar1,@StandardBankZA #HowAboutNowSummer #itcanbe
2023-01-01 07:11:37+00:00,tumi707,"@StandardBankZA Ohhhhhhh yes @StandardBankZA rocks as always!!! 
#HowAboutNowSummer #ItCanBe"
2023-01-01 07:05:05+00:00,mbalis_bakery,@StandardBankZA where is our new year message? https://t.co/HKS2pPrCyV
2023-01-01 07:00:27+00:00,StandardBankZA,Here’s to a whole new year to thrive again! Who’s ready for 2023? 🙋🏾‍♀️ #HowAboutNowSummer #ItCanBe https://t.co/DAT2tqjdYS
2023-01-01 06:24:21+00:00,stephmalatjie,@malukubabe @StandardBankZA Fantastic run 🏃🏿 champ Ma’Gumbi
2023-01-01 06:20:41+00:00,malose_lml,@vregarSA @RunningWithTum1 @TotalsportsSA @cg_nedbank @Ndumie_Mcyong @StandardBankZA @tumisole Thank you champ 🙏🏾
2023-01-01 06:20:22+00:00,malose_lml,@MrThobaniMkhize @RunningWithTum1 @TotalsportsSA @cg_nedbank @Ndumie_Mcyong @StandardBankZA @tumisole Thank you champ 🙏🏾
2023-01-01 06:18:59+00:00,malose_lml,@Tyranjf @RunningWithTum1 @TotalsportsSA @cg_nedbank @Ndumie_Mcyong @StandardBankZA @tumisole Thank you champ 🙏🏾
2023-01-01 06:17:22+00:00,MrThobaniMkhize,@malose_lml @RunningWithTum1 @TotalsportsSA @cg_nedbank @Ndumie_Mcyong @StandardBankZA @tumisole Nice one champ ✔️
2023-01-01 06:04:37+00:00,vregarSA,@malose_lml @RunningWithTum1 @TotalsportsSA @cg_nedbank @Ndumie_Mcyong @StandardBankZA @tumisole Great run champ
2023-01-01 06:00:05+00:00,StandardBankZA,"The 2023 pricing update is here! Updated fees, enhanced benefits, and more control on self-service banking platforms. Learn more: https://t.co/y1e438jyRZ. https://t.co/4Hr6YXl3wS"
2023-01-01 05:21:02+00:00,Tyranjf,@malose_lml @RunningWithTum1 @TotalsportsSA @cg_nedbank @Ndumie_Mcyong @StandardBankZA @tumisole Awesome run champ
2023-01-01 05:09:56+00:00,Nelly50773917,@StandardBankZA yesterday #HowAboutNowSummer
2023-01-01 05:09:08+00:00,HlengiweMjilo,@StandardBankZA yes I have
2023-01-01 05:08:19+00:00,Yasmin09956945,@StandardBankZA cape Town to visit my family #HowAboutNowSummer
2023-01-01 05:06:59+00:00,malose_lml,@Samke_umgijimi @RunningWithTum1 @TotalsportsSA @cg_nedbank @Ndumie_Mcyong @StandardBankZA @tumisole Thank you champ 🙏🏾
2023-01-01 05:06:33+00:00,malose_lml,@cheza_prop @RunningWithTum1 @TotalsportsSA @cg_nedbank @Ndumie_Mcyong @StandardBankZA @tumisole Thank you champ 🙏🏾
2023-01-01 05:06:23+00:00,malose_lml,@Try_running @RunningWithTum1 @TotalsportsSA @cg_nedbank @Ndumie_Mcyong @StandardBankZA @tumisole Thank you champ 🙏🏾
2023-01-01 05:06:14+00:00,malose_lml,@Ofentse06642146 @RunningWithTum1 @TotalsportsSA @cg_nedbank @Ndumie_Mcyong @StandardBankZA @tumisole Thank you champ
2023-01-01 04:53:25+00:00,malose_lml,@PaintFunRace @RunningWithTum1 @TotalsportsSA @cg_nedbank @Ndumie_Mcyong @StandardBankZA @tumisole Thank you leadership 🙏🏾
2023-01-01 04:51:39+00:00,malose_lml,"Recovery run nice and easy
#runninwithtumisole
#HearHervoice
#BeInspired
#IPaintedMyRun
#IChoose2BeActive
#FetchYourBody2022
#TotalSportsRunyoursummer
#HomeOfRunning
@RunningWithTum1 @TotalsportsSA @cg_nedbank @Ndumie_Mcyong @StandardBankZA @tumisole https://t.co/aoMi0dhq9M"
2023-01-01 00:58:52+00:00,Khayelihle991,@Madam_PB @StandardBankZA
2023-01-01 00:54:40+00:00,KissesKitty9,@StandardBankZA I love that I can earn at many shops and also redeem. The main one I love is when I refill my tank! #BecauseUCount #howaboutnowsummer
2023-01-01 00:53:11+00:00,PinkMelLZ,"@StandardBankZA Yes,Last year 31 December 2022 LOL 
#BecauseUCount #howaboutnowsummer"
2023-01-01 00:48:13+00:00,FireRed10K2,"@StandardBankZA Definitely 

#BecauseUCount 
#HowAboutNowSummer"
2023-01-01 00:13:08+00:00,Brandy261365311,@StandardBankZA My username is Brandy not Lucinda lol. I spend at pick n pay. #BeacuseUCount #HowAboutNowSummer
2022-12-31 23:49:56+00:00,Wondertasty2,"@StandardBankZA 100% sure my friend, come one don't try to change my mind lol I am 100% sure. #InstantMoneyMondays
#HowAboutNowSummer"
2022-12-31 23:47:13+00:00,StandardBankZA,"@Absa_Mahlangu Hello Absa, we are not aware of any issues. Please may you DM us a screenshot of the error you receiving."
2022-12-31 23:42:42+00:00,Absa_Mahlangu,@StandardBankZA why is your banking app have limited use now
2022-12-31 23:10:00+00:00,JoseHer19149626,@malukubabe @StandardBankZA 👏👏💪🏃🏃
2022-12-31 22:41:06+00:00,malukubabe,@s_siraji @StandardBankZA Thanks champ and a happy new year 🎉🥳
2022-12-31 21:59:11+00:00,s_siraji,@malukubabe @StandardBankZA Well done champ ma'Gumbi 🙌🔥👏
2022-12-31 21:33:10+00:00,malukubabe,@zikodesbu @StandardBankZA 💓💓💓
2022-12-31 21:21:04+00:00,zikodesbu,@malukubabe @StandardBankZA Running Beyond  202By2 💞💥🤲
2022-12-31 20:59:26+00:00,e_sibo,@malukubabe @StandardBankZA ❤️
2022-12-31 20:55:18+00:00,malukubabe,@e_sibo @StandardBankZA Ngiyabonga skoni sami 💕 ungene kahle onyakeni omusha 🥂 ngiyakuthanda ❤️
2022-12-31 20:54:18+00:00,malukubabe,@NdhlovuEdna @StandardBankZA Thank you my darling 💕 and a happy new year in advance to you and your family ❤️
2022-12-31 19:54:25+00:00,nare21_,@Sethy9 @Madam_PB @Discovery_SA @StandardBankZA @PwC I thought I was the only one😂😂😩
2022-12-31 19:27:38+00:00,clemie18,"@EugeneMt @FNBSA is a trash bank, they’ve always treated me like rubbish. @StandardBankZA approved my car and home loan. They even approved for my house to be rezoned. Really happy with them ❤️ and I have never missed a payment. I always recommend them to graduates"
